paris;5;1
paris;5;2
paris;5;3
paris;5;4
paris;5;5
paris;7.5;1
paris;7.5;2
paris;7.5;3
paris;7.5;4
paris;7.5;5
paris;10;1
paris;10;2
paris;10;3
paris;10;4
paris;10;5
a86;5;1
a86;5;2
a86;5;3
a86;5;4
a86;5;5
a86;7.5;1
a86;7.5;2
a86;7.5;3
a86;7.5;4
a86;7.5;5
a86;10;1
a86;10;2
a86;10;3
a86;10;4
a86;10;5
n104;5;1
n104;5;2
n104;5;3
n104;5;4
n104;5;5
n104;7.5;1
n104;7.5;2
n104;7.5;3
n104;7.5;4
n104;7.5;5
n104;10;1
n104;10;2
n104;10;3
n104;10;4
n104;10;5
test;10000;1
test;10000;2
test;10000;3
test;10000;4
test;10000;5
