paris;5;60;1
paris;5;60;2
paris;5;60;3
paris;5;60;4
paris;5;60;5
paris;7.5;60;1
paris;7.5;60;2
paris;7.5;60;3
paris;7.5;60;4
paris;7.5;60;5
paris;10;60;1
paris;10;60;2
paris;10;60;3
paris;10;60;4
paris;10;60;5
a86;5;60;1
a86;5;60;2
a86;5;60;3
a86;5;60;4
a86;5;60;5
a86;7.5;60;1
a86;7.5;60;2
a86;7.5;60;3
a86;7.5;60;4
a86;7.5;60;5
a86;10;60;1
a86;10;60;2
a86;10;60;3
a86;10;60;4
a86;10;60;5
n104;5;60;1
n104;5;60;2
n104;5;60;3
n104;5;60;4
n104;5;60;5
n104;7.5;60;1
n104;7.5;60;2
n104;7.5;60;3
n104;7.5;60;4
n104;7.5;60;5
n104;10;60;1
n104;10;60;2
n104;10;60;3
n104;10;60;4
n104;10;60;5
test;10000;60;1
test;10000;60;2
test;10000;60;3
test;10000;60;4
test;10000;60;5
